Question Numbers,Variable,English,Turkish,Korean,MEMO by Sungeun,Comments by Banu
,marital7,I am single but in a relationship (not living together),"Bekarım ama ilişkim var, ve birlikte yaşamıyorum. ",,,
,marital8,"I am single, but in a relationship (living together)","Bekarım ama ilişkim var, ve sevgilimle birlikte yaşıyorum",,,
4b,num_siblings,How many siblings do you have?,Kaç tane kardeşiniz var?,"형제, 자매는 몇 명 입니까?",,
4c,num_children,How many children do you have?,Kaç çocuğunuz var?,자녀는 몇 명 입니까?,,
4d,num_children_intouch,"How many of your children do you see or get in touch with  (including phone, messengers or text messages) at least once every 2 weeks?",Çocuklarınızın kaçıyla en az 2 haftada bir görüşüyorsunuz ya da telefonla konuşuyorsunuz?,"적어도 2주에 한 번 이상 만나거나 전화를 하는 자녀는 몇 명입니까? (전화, 메신저, 문자메세지 포함)",,
4e,parents,Are either of your parents living?,Ebeveynleriniz yaşıyor mu?,부모님께서는 살아계십니까?,,
,parents1,Only mother,Sadece annem yaşıyor   ,어머니만 살아계심,,
,parents2,Only father,Sadece babam yaşıyor,아버지만 살아계심,,
,parents3,both,İkisi de yaşıyor,양친 모두 살아계심,,
,parents4,neither,İkisi de vefat etti,양친 모두 돌아가심,,
4f,parents_touch,"Do you see or or get in touch with  (including phone, messengers or text messages) either of your parents at least once every 2 weeks?",Ebeveynlerinizle en az 2 haftada bir görüşüyor ya da telefonla konuşuyor musunuz?,"부모님 중 적어도 2주에 한 번 이상 뵙거나 연락드리는 분이 계십니까? (전화, 메신저, 문자메세지 포함)",,
4g,parents_partner,Are either of your in-laws (or partner's parents) living?,Eşinizin ebeveynleri yaşıyor mu?,배우자의 부모님께서는 살아계십니까?,,
,parents_partner1,Only mother,Sadece annesi yaşıyor,시어머님(또는 장모님)만 살아계심,,
,parents_partner2,Only father,Sadece babası yaşıyor,시아버님(또는 장인어른)만 살아계심,,
,parents_partner3,both,İkisi de yaşıyor,두 분 모두 살아계심,,
,parents_partner4,neither,İkisi de vefat etti,두 분 모두 돌아가심,,
,parents_partner5,I am not married,Evli değilim,미혼,,
4h,parents_partner_touch,"Do you see or get in touch with  (including phone, messengers or text messages) either of your partner's parents at least once every 2 weeks?","Eşinizin ebeveynleriyle telefon, mesaj ve benzeri yollarla en az 2 haftada bir görüşüyor musunuz?","배우자의 부모님 중 적어도 2주에 한 번 이상 뵙거나 연락드리는 분이 계십니까? (전화, 메신저, 문자메세지 포함)",,
4i,other_relatives,"How many other relatives (other than your spouse, parents & children) do you feel close to?","Eşiniz, ebeveynleriniz ya da çocuklarınız dışında kendinizi kaç akrabanıza yakın hissediyorsunuz? ","배우자, 부모님, 자녀 이외에 친하게 지내는 친척이 몇 명이나 있습니까?",,
4k,other_relatives_touch,"How many of these relatives do you see or get in touch with  (including phone, messengers or text messages) at least once every 2 weeks?","Bu akrabaların kaçıyla telefon, mesaj ve benzeri yollarla en az 2 haftada bir görüşüyorsunuz?","친하게 지내는 친척 중 적어도 2주에 한 번 이상 만나거나 연락하는 사람은 몇 명입니까? (전화, 메신저, 문자메세지 포함)",,
4l,close_friends,"How many close friends do you have?  (meaning people that you feel at ease with, can talk to about private matters, and can call on for help)","Kaç tane yakın arkadaşınız var? (Yakın arkadaştan kasıt yanında rahat hissettiğiniz, özel konulardan bahsedebildiğiniz ve gerektiğinde yardım isteyebildiğiniz kişilerdir)","친하게 지내는 친구들은 몇 명입니까? (같이 있으면 편하고, 사적인 이야기들을 나눌 수 있고, 도움을 요청할 수 있는 친구)",,
4m,close_friends_touch,"How many of these friends do you see or get in touch with  (including phone, messengers or text messages) at least once every 2 weeks","Bu arkadaşlarınızdan kaçıyla telefon, mesaj ve benzeri yollarla en az 2 haftada bir görüşüyorsunuz?","친하게 지내는 친구들 중 적어도 2주에 한 번 이상 만나거나 연락하는 사람은 몇 명입니까? (전화, 메신저, 문자메세지 포함)",,
4n,religious,"Do you belong to a church, temple, or other religious group?",İnancınızdan ötürü ibadet için düzenli olarak görüştüğünüz kişiler var mı?,교회나 절 같은 종교 집단에 소속되어 있습니까?,,
,yn1,Yes,Evet,예,,
,yn2,No,Hayır,아니오,,
4o,religious_members,"How many members of your church or religious group do you talk to or get in touch with  (including phone, messengers or text messages) at least once every 2 weeks? (This includes at group meetings and services.)","Bu kişiler arasından kaçıyla en az ayda bir telefon, mesaj ve benzeri yollarla görüşüyorsunuz? (Grupça buluşmalarınız dahil)","교회나 절 같은 종교집단에 속해있다면 교회(또는 절)에 같이 다니는 사람들 중 적어도 2주에 한 번 이상 만나거나 연락하는 사람은 몇 명입니까? (전화, 메신저, 문자메세지 포함; 친교, 성경공부 등의 종교적 목적의 소모임 포함)",,
4p,classes,"Do you attend any classes (school, university, technical training, or adult education) on a regular basis?","Düzenli olarak bir kursa ya da okula gidiyor musunuz? (okul, üniversite, eğitim programı vb)? ","학교, 대학, 직업훈련, 평생교육 같은 기관에서 정규적으로 듣는 수업이 있습니까?",,
4r,talk_students_teachers,"How many fellow students or teachers do you talk to or get in touch with  (including phone, messengers or text messages) at least once every 2 weeks? (This includes at class meetings.)","Kaç sınıf arkadaşınız ya da öğretmeninizle telefon, mesaj ve benzeri yollarla en az 2 haftada bir görüşüyorsunuz? (ders günleri dahil)","함께 수업듣는 학생이나 선생님들 중 적어도 2주에 한 번 이상 연락하고 지내는 사람이 있습니까? (전화, 메신저, 문자메세지 포함)",,
4s,employed,Are you currently employed either full or part-time?,Bir yerde tam ya da yarı zamanlı çalışıyor musunuz?,"현재 봉급이 나오는 직장에 고용되어 있습니까? (정규직, 비정규직 모두 포함)",,
,employed1,No,Hayır,아니오,,"bc: You are right, I have erased the option 4, changed it to 'retired' see the comment below"
,employed2,I am self-employed,"Evet, kendi işimde",자영업자,,
,employed3,Yes employed by others,"Evet, başkasının işinde","예, 현재 봉급받고 일을 하고 있음",,
,employed4,Retired ,Emekli,퇴직함,"yes, I think it's good to include 'retired.' I've changed the translation.","bc: Sungeun, do you think we need this; 'retired'? if not then let's stick to the first three"
4t,talk_work,"How many people at work (other than those you supervise) do you talk to or get in touch with  (including phone, messengers or text messages) at least once every 2 weeks?","Denetlediğiniz, yönettiğiniz veya sorumlu olduğunuz kişiler dışında iş yerinizden kaç kişiyle telefon, mesaj ve benzeri yollarla en az 2 haftada bir görüşüyorsunuz?","직장동료 중 적어도 2주에 한 번 이상 개인적으로 연락하는 사람은 몇 명입니까? (전화, 메신저, 문자 메세지 포함)",,
4u,visit_neighbors,"How many of your neighbors do you visit or or get in touch with  (including phone, messengers or text messages) at least once every 2 weeks?","Komşularınızdan kaçını en az 2 haftada bir ziyaret ediyor veya telefon, mesaj ve benzeri yollarla görüşüyorsunuz?","이웃 중 적어도 2주에 한 번 이상 방문하거나 연락하는 사람은 몇 명입니까? (전화, 메신저, 문자메세지 포함)",,
4v,volunteer,Are you currently involved in regular volunteer work?,"Kâr amacı gütmeyen, gönüllü bir çalışmaya dâhil misiniz?",현재 정기적으로 하는 자원봉사 활동이 있습니까?,,
4w,num_volunteer,"How many people involved in this volunteer work do you talk to or get in touch with  (including phone, messengers or text messages) about volunteering-related issues at least once every 2 weeks?","Bu çalışmaya dâhil olan kişilerin kaçıyla telefon, mesaj ve benzeri yollarla en az 2 haftada bir gönüllülükle ilgili konular hakkında konuşuyorsunuz?","함께 봉사활동을 하는 사람들 중 적어도 2주에 한 번 이상 연락하고 지내는 사람은 몇 명입니까? (전화, 메신저, 문자메세지 포함)",,
4z,social_group,"Do you belong to any groups in which you talk to one or more members of the group about group-related issues at least once every 2 weeks?  Examples include social clubs, recreational groups, trade unions, commercial groups, professional organizations, groups concerned with children like the PTA or Boy Scouts,  groups concerned with community service, etc","Gönüllü çalışma yaptığınız grup dışında, diğer grup üyeleriyle en az 2 haftada bir grupla ilgili konular hakkında konuştuğunuz bir gruba üye misiniz? Bu grup sosyal kulüp, spor kulübü, işçi sendikası, kooperatif, ticaret birliği, profesyonel organizasyon, sosyal servis hizmeti, TOÇEV gibi çocuklarla çalışan bir yardım kampanyası ya da benzeri bir organizasyon olabilir","적어도 2주에 한 번 이상 연락하거나 만나는 집단에 소속되어 있습니까? (예: 친목모임, 여가활동 모임, 전문가 조직, 학부모 모임, 보이스카우트 같은 자녀관련모임, 지역사회 모임 등)",,
4y,group_name,Consider those groups in which you talk to a fellow group member at least once every 2 weeks.  Please provide the following information for each such group:  the name or type of group and the total number of members in that group that you talk to at least once every 2 weeks.,En az 2 haftada bir diğer grup üyeleriyle konuştuğunuz bu grubu/grupları düşünün. Lütfen bu grubun/grupların isimlerini ya da türlerini ve en az 2 haftada bir konuştuğunuz grup üyelerinin sayılarını yazın.,"적어도 2주에 한 번이상 연락하거나 만나는 집단에 소속되어 있다면, 그 집단의 이름 또는 유형과 소속집단 구성원의 수를 적어주십시오.",,
,group_member,Number of member </br> with whom you</br> interact with at least once </br>every other week,En az 2 haftada bir görüştüğünüz üye sayısı,적어도 2주에 한 번 이상 연락하거나 만나는 집단의 구성원 수,,
5,happy,"Taking all things together, would you say you are","Herşeyi göz önünde bulundurursanız, ne kadar mutlusunuz",여러가지면들은 종합해서 고려해 볼 때 당신은,,
,happy1,Very Happy,Çok mutlu,아주 행복하다,,
,happy2,Rather Happy,Mutlu,다소 행복하다,,
,happy3,Not very happy,Çok mutlu değil,그다지 행복하지는 않다,,
,happy4,Not at all happy,Hiç mutlu değil,전혀 행복하지 않다,,
6,instructions1,"Below are five statements that you may agree or disagree with. Using the 1 - 5 scale below, indicate your agreement with each item by placing the appropriate number on the line preceding that item. Please be open and honest in your responding.","Aşağıdaki ifadelere ne kadar katılıp katılmadığınızı sizin kendinize dair genel düşüncelerinizi ve hislerinizi anlamak için soracağız. 1 hiç katılmıyorum, 3 ne katılıyorum ne katılmıyorum ve 5 tamamen katılıyorum anlamına gelecek şekilde 1 ile 5 arasında bir puan verebilirsiniz",다음의 다섯 개의 문항들은 당신이 동의할수도 동의하지 않을 수도 있습니다. 각 문항을 읽고 1-5점 척도로 평정하여 주십시오. 가능한 개방적이고 정직하게 답변해주시기 바랍니다.,,
,life_satisfaction_ideal,In most ways my life is close to my ideal,Pek çok açıdan ideallerime yakın bir yaşamım var,대체로 나의 삶은 내가 이상적이라고 여기는 것과 가깝다,,
,life_satisfaction_conditions,The conditions of my life are excellent,Yaşam koşullarım mükemmeldir,내 삶의 여건들은 아주 좋다,,
,life_satisfaction_satisfied,I am satisfied with my life.,Yaşamım beni tatmin ediyor,나는 내 삶에 만족한다,,
,life_satisfaction_things,So far I have gotten the important things I want in life,"Şimdiye kadar, yaşamda istediğim önemli şeyleri elde ettim.",나는 지금까지 내가 삶에서 원하는 것들을 이루어 왔다,,
,life_satisfaction_change,"If I could live my life over, I would change almost nothing","Hayatımı bir daha yaşama şansım olsaydı, hemen hemen hiçbir şeyi değiştirmezdim.",만일 내 삶을 다시 살 수 있다해도 나는 거의 아무것도 변화시키지 않을 것이다,,
,aggreement_strong1,Strongly disagree,Hiç katılmıyorum,매우 동의하지 않는다,,
,aggreement_strong2,Disagree,Katılmıyorum,동의하지 않는다,,
,aggreement_strong3,Neither agree nor disagree,Ne katılıyorum ne katılmıyorum,보통이다,,
,aggreement_strong4,Agree,Katılıyorum,동의한다,,
,aggreement_strong5,Strongly Agree,Tamamen katılıyorum,매우 동의한다,,
7,happiness_rating,"Compared with most of my peers, I consider myself","Akranlarımla yani bana benzer yaşta kişilerle karşılaştırdığımda, çoğuna göre kendimi şöyle değerlendiririm",내 주변친구나 동료들에 비해 나는,,
,happiness1,Less Happy,Daha az mutlu,덜 행복한 것 같다,,
,happiness2,Very Happy,Daha çok mutlu,더 많이 행복한 것 같다,,
,rating1,Less happy 1,Daha az mutlu 1,덜 행복한 것 같다 1,"Yep, included it",SUNGEUN: YOU MAY WANT TO WRITE IN YOUR OWN LANGUAGE AS WELL HERE
,rating2,2,2,,, FOR 1 AND 7 
,rating3,3,3,,,
,rating4,4,4,,,
,rating5,5,5,,,
,rating6,6,6,,,
,rating7,Very happy 7,Daha çok mutlu 7,더 많이 행복한 것 같다 7,"Yep, included it",
8,communal1,"While answering the following questions, please think about how people you are close to (your family, friends, loved ones) generally act when you are faced with a problem.

Please rate the statements below based on how much you aree and disagree with them.","Aşağıdaki sorulara yanıt verirken bir sorunla karşılaştığınızda yakın çevrenizdeki kişilerin (aileniz, yakınlarınız, arkadaşlarınız gibi) çoğunlukla ne yaptıklarını düşünerek cevaplayınız. 1 hiç katılmıyorum, 3 ne katılıyorum ne katılmıyorum ve 5 tamamen katılıyorum anlamına gelecek şekilde 1 ile 5  arasında bir puan verebilirsiniz","어려운 일이 있었을 때 내 주변의 가까운 사람들(가족, 친구, 애인)이 보통 어떻게 행동하는지를 생각하면서 질문에 답해주십시오. 다음의 문장을 일고 얼마나 동의하는지를 답해주세요.",,
9,communal2,"Now we will ask you what you would do when  people in your immediate circle  (family, friends, loved ones) were to face a problem.
Please rate the statements below based on how much you aree and disagree with them.","Şimdi de yakın çevrenizdeki insanların (aileniz, yakınlarınız, sevdikleriniz gibi) sorunları olduğunda sizin neler yaptığınızı soracağız.","이제 가족, 친구 애인과 같이 가까운 주변사람이 어려운 문제를 겪을 때 당신이 어떻게 할 것인지에 대해 물을 것입니다. 다음의 문장을 읽고 얼마나 동의하는지를 답해주세요.",,
,communal1_item1,"When I share a problem with people who are in my immediate circle (my family, friends, loved ones) they think of this problem as our problem, not only my problem.,","Bir sorunumu yakın çevremdeki kişilerle (ailemle, yakınlarımla, veya arkadaslarimla) paylaştığımda bu sırf benim problemim değil hepimizin problemiymiş gibi düşünürler","내 주변의 가까운 사람들(가족, 친구, 애인)에게 내 문제를 이야기하면 그들은 이러한 문제들이 오직 나의 문제가 아닌 우리의 문제라고 생각해준다",,
,communal1_item2,"When I am faced with a problem, people who are in my immediate circle (my family, friends and loved ones) solve this problem for me (resorting mainly to their own resources  or mobilizing my resources themselves) ,","Bir sorunum olduğunda, yakın çevremdeki kişiler (ailem, yakınlarım, veya arkadaşlarım) bu problemi benim yerime çözerler (kendi kaynaklarını kullanarak veya benim kaynaklarımı harekete geçirerek)","내 주변의 가까운 사람들(가족, 친구, 애인)은 내가 문제에 직면했을 때 나를 위해 문제를 해결해주려고 노력한다(본인의 자원을 제공하거나 내가 활용할 수 있는 자원들을 함께 모색하는 등)",,
,communal1_item3,"When I am faced with a problem, people who are in my immediate circle (my family, friends and loved ones) share the responsibility to solve this problem with me. ,","Bir sorunum olduğunda, yakın çevremdeki kişiler (ailem, yakınlarım, veya arkadaşlarım) problemimi çözme sorumluluğunu benimle paylaşırlar, benimle birlikte çözerler","내 주변의 가까운 사람들(가족, 친구, 애인)은 내가 문제에 직면했을 때 문제를 해결하기 위한 책임을 공유한다",,
,communal1_item4,"When dealing with my problem, unless the requests and needs of people who are in my immediate circle (family, friends, loved ones) are met, that problem would not be considered resolved. ,","Bir sorunumla alakalı yakın çevremdeki kişilerin (ailemin, yakınlarımın, veya arkadaşlarımın) istekleri ve ihtiyaçları karşılanmadıkça bu sorun çözülmüş sayılmaz","내 문제를 해결하는 과정에서 내 주변의 가까운 사람들(가족, 친구, 애인)이 바라는 것들이 충족되지 않는다면 그 문제는 해결된 것으로 간주하지 않는다",,
,communal1_item5,"When I am dealing with a problem, no one really cares about it.","Bir sorunum olduğunda, kimse bunu pek de umursamaz.","내가 해결해야 하는 어떤 문제가 있을 때, 내 문제에 진정으로 관심가져주는 주변 사람이 없다",,
,communal1_item6,"When I am faced with a problem, people who are in my immediate circle think that I am the responsible one in resolving this problem.  ","Bir sorunum olduğunda, yakın çevremdeki kişiler bunun çözümünün asıl sorumlusu olarak beni görürler.","내가 어떤 문제에 직면할 때, 내 주변의 가까운 사람들은 그 문제를 해결하기 위한 책임이 나에게 있다고 생각한다",,
,communal2_item1,When people in my immediate circle come to me with a problem I think of it as my problem,Yakın çevremdeki insanlar bana bir sorunla geldiğinde bunu kendi problemimmiş gibi düşünürüm.,"내 주변의 가까운 사람들(가족, 친구, 애인)이 나에게 그들의 문제를 의논하면 나를 그것을 내 문제처럼 생각한다",,
,communal2_item2,"When people in my immediate circle come to me with a problem I solve it for them (resorting mainly to my own resources  or mobilizing their resources myself) ,",Yakın çevremdeki insanlar bana bir sorunla geldiğinde ben bu sorunu onların yerine çözerim (onların kaynaklarını kullanarak veya kendi kaynaklarımı harekete geçirerek),"내 주변의 가까운 사람들(가족, 친구, 애인)이 나에게 그들의 문제를 의논하면 나를 그 문제를 해결해 주려고 노력한다",,
,communal2_item3,When people in my immediate circle come to me with a problem we share the responsibility and solve it together.,"Yakın çevremdeki insanlar bana bir sorunla geldiğinde, sorunlarını çözme sorumluluğunu paylaşır, birlikte çözerim","내 주변의 가까운 사람들(가족, 친구, 애인)이 나에게 그들의 문제를 의논하면 나는 그 문제를 함께 해결하고 책임을 공유한다",,
,communal2_item4,"When dealing with the problem of anyone in my immediate circle, unless the requests and needs of all people concerned are met, that problem would not be considered resolved.","Yakın çevremdeki insanlar bir sorunla baş ederken, sorunla alakalı herkesin istekleri ve ihtiyaçları karşılanmadıkça bu sorun çözülmüş sayılmaz","내 주변의 가까운 사람들(가족, 친구, 애인) 중 누군가에게 문제가 생겼을 때, 주변사람들의 요구와 바램이 충족되지 않는다면 그 문제는 해결된 것이라고 간주하지 않는다",,
,communal2_item5,When people in my immediate circle have a problem I won’t care about it a lot.,Yakın çevremdeki insanların bir sorunu olduğunda pek de umursamam,"내 주변의 가까운 사람들(가족, 친구, 애인)에게 문제가 생기더라도때 나는 크게 신경쓰지 않는다",,
,communal2_item6,When people in my immediate circle have a problem I think that it is mainly their own responsibility to solve them.,Yakın çevremdeki insanların sorunları olduğunda bu sorunların çözümünün esas sorumlusunun kendileri olduğunu düşünürüm,"내 주변의 가까운 사람들(가족, 친구, 애인)에게 문제가 생긴다면, 그 문제해결을 위한 주된 책임은 당사자가 져야 한다고 생각한다",,
10,burden,"The following questions ask you to think about yourself and other people.  Please respond to each question by using your own beliefs and experiences, NOT what you think is true in general, or what might be true for other people.","Şimdi size soracağım sorular kendiniz ve diğer insanlar hakkında düşünmenizi istemektedir. Lütfen her soruyu kendi düşünce ve deneyimleriniz doğrultusunda cevaplayınız, biz sizin nasıl düşündüğünüz ve hissettiğinizle ilgilenmekteyiz, başka insanlar için neyin doğru olabileceği ile DEĞİL. 1 hiç katılmıyorum, 3 ne katılıyorum ne katılmıyorum ve 5 tamamen katılıyorum anlamına gelecek şekilde 1 ile 5  arasında bir puan verebilirsiniz",당신과 당신 주변사람들을 생각하면서 다음에 답해주십시오. 당신 자신의 경험과 믿음에 근거하여 각 문항에 답해주세요.,,
,burden_item1,The people in my life would be better off if I were gone.,Eğer ben olmasaydım hayatımdaki insanların yaşamları daha iyi olurdu,내 주변사람들은 내가 없으면 더 잘 살 것 같다,,
,burden_item2,The people in my life would be happier without me,Ben olmasam hayatımdaki insanlar daha mutlu olurdu.,내 주변사람들은 내가 없으면 더 행복할 것 같다,,
,burden_item3,I think I am a burden on society,"Genel olarak, topluma bir yük olduğumu düşünürüm",나는 우리 사회에 짐이 되는 것 같아,,
,burden_item4,I think my death would be a relief to the people in my life,Ölümümün hayatımdaki insanları rahatlatacağını düşünürüm,나는 내가 죽어야 다른 사람들의 걱정이 없어질 것 같다고 느낀다,,
,burden_item5,I think the people in my life wish they could be rid of me,Hayatımdaki insanların benden kurtulmayı dilediklerini düşünürüm,내 주변사람들은 내가 없어져 버렸으면 좋겠다고 생각하는 것 같다,,
,burden_item6,I think I make things worse for the people in my life,Hayatımdaki insanlar için işleri daha kötü hale getirdiğimi düşünürüm,나는 내 주변사람들의 상황을 악화시키고 있는 것 같다,,
,burden_item7,Other people care about me,İnsanların beni önemsediğini düşünürüm,나를 배려하고 생각해주는 사람들이 있다,,
11,belong,"Here are some statements, which you may or may not agree. Please indicate to what degree you agree with the following statements.","Aşağıdaki ifadelere ne kadar katıldığınızı söylemenizi isteyeceğim.
Size okuyacağım ifadelere 1 hiç katılmıyorum, 3 ne katılıyorum ne katılmıyorum ve 5 tamamen katılıyorum anlamına gelecek şekilde 1 ile 5  arasında bir puan verebilirsiniz",다음의 문항들은 당신이 동의할 수도 동의하지 않을 수도 있는 것들입니다. 각 문항을 읽고 동의하는 정도를 답해주세요.,,
,belong_item1,I often wonder if there is any place on earth where I really fit in,Kendimi gerçekten ait hissedebileceğim bir yerin olup olmadığından emin değilim,나는 종종 지구 어디인가에 내게 잘 어울리는 그런 곳이 있을까 하는 의문이 든다,,
,belong_item2,I am just not sure if I fit in with my friends,Kendimi arkadaş çevreme gerçekten ait hissedip hissetmediğime emin değilim,나랑 잘 맞는 친구가 없는 것 같다,,
,belong_item3,I would describe myself as a misfit in most social situations,Çoğu ortamda uyumsuz biriyimdir,나는 대부분의 사회적 상황에서 부적합한 사람이다,,
,belong_item4,I generally feel that people accept me,Genellikle insanlar beni olduğum gibi kabul ederler,나는 보통 다른 사람들에게 받아들여진다고 느낀다,,
,belong_item5,I feel like a piece of a jig-saw puzzle that doesn’t fit into the puzzle.,Kendimi bir bütünün uymayan bir parçası gibi hissediyorum,나는 내 자신이 어디에도 맞지 않는 남은 퍼즐조각처럼 느껴진다,,
,belong_item6,"I would like to make a difference to people or things around me, but I don’t feel that what I have to offer is valued",Çevremdeki insanlara faydam olsun isterim ve insanlar da bunun kıymetini bilir,"나는 다른 사람들이나 주변의 일들에 도움이 되는 사람이고 싶지만, 내가 할 수 있는 일들이 가치있게 받아들여지지 않는 것 같다",,
,belong_item7,I feel like an outsider in most situations,Kendimi çoğu zaman dışlanmış hissediyorum,나는 대부분의 상황에서 이방인처럼 느낀다,,
,belong_item8,I am troubled by feeling like I have no place in this world,Bu dünyada bir yerim olduğuna eminim ve bu beni çok mutlu ediyor,이 세상 어디에도 내가 설 곳이 없는 것 같아 괴롭다,,
,belong_item9,I could disappear for days and it wouldn’t matter to my family,"Günlerce ortadan kaybolsam, bu ailemin umurunda olmaz",내가 며칠동안 사라져도 나의 가족들은 개의치 않을 것이다,,
,belong_item10,"In general, I don’t feel a part of the mainstream of society",Kendimi toplumun bir parçası gibi hissetmiyorum.,나는 사회의 주류가 아니라고 느낀다,,
,belong_item11,I feel like I observe life rather than participate in it,"Hayatın içinde değilmişim, hayata dışarıdan bakıyormuşum gibi hissediyorum",나는 삶에 적극적으로 참여하기 보다는 방관적이다,,
,belong_item12,"If I died tomorrow, very few people would come to my funeral",Yarın ölseydim çok az kişi cenazeme katılırdı.,내가 내일 죽더라도 나의 장례식장에 올 사람들은 별로 없을 것이다,,
,belong_item13,I feel like a square peg trying to fit into a round ,Aslında ait olmadığım bir yere ait olmak için çabaladığımı hissediyorum,나는 내 자신이 동그란 구멍에 억지로 맞추려는 네모조각 같다는 느낌이 든다(이 세상에 맞지 않는 부적응자라고 느낀다),,
